"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLE44,Calderdale and Kirklees,"7,037","7,383","7,511","7,740","7,929","8,409","8,821","9,376","9,773","10,245","10,176","9,858","10,167","10,549","10,866","11,178","12,020","12,854","13,075","14,008","14,707","14,763","14,001","15,445","15,977","17,117"
ITL3,TLE45,Wakefield,"4,547","4,785","4,937","5,132","5,315","5,594","5,810","6,061","6,265","6,469","6,592","6,434","6,422","6,619","6,816","7,052","7,107","7,576","7,876","8,198","8,702","9,066","8,665","9,390","10,566","11,425"
ITL1,TLF,East Midlands,"60,824","62,809","65,204","67,838","70,651","74,267","77,954","82,036","86,495","90,216","93,423","90,251","94,488","96,833","100,304","104,520","108,811","112,174","115,585","119,955","125,315","129,738","124,829","135,359","146,120","156,953"
ITL2,TLF1,Derbyshire and Nottinghamshire,"28,310","29,450","29,995","31,167","32,571","33,909","36,040","38,293","39,735","41,030","42,124","40,712","42,589","44,340","46,028","47,505","48,909","50,412","51,984","53,528","55,880","57,709","56,906","59,976","65,104","69,443"
ITL3,TLF11,Derby,"4,168","4,435","4,615","4,839","5,107","5,292","5,723","6,222","6,417","6,573","6,705","6,530","6,661","7,050","7,224","7,493","7,375","7,411","7,533","7,563","8,079","8,353","8,567","9,049","9,425","10,155"
ITL3,TLF12,East Derbyshire,"3,372","3,481","3,557","3,711","3,833","3,946","4,134","4,399","4,510","4,671","4,826","4,642","4,860","4,977","5,208","5,331","5,539","6,000","6,170","6,378","6,677","6,833","6,961","7,518","8,132","8,386"
ITL3,TLF13,South and West Derbyshire,"6,212","6,378","6,411","6,590","6,864","7,155","7,500","7,995","8,116","8,316","8,589","8,035","8,650","8,991","9,425","9,934","10,254","10,445","10,964","11,272","11,730","12,461","12,088","12,713","13,351","14,181"
ITL3,TLF14,Nottingham,"4,997","5,205","5,300","5,617","5,947","6,324","6,907","7,282","7,782","8,059","8,276","8,185","8,561","8,978","9,268","9,412","10,061","10,280","10,658","11,149","11,390","11,505","11,094","11,534","12,951","14,105"
ITL3,TLF15,North Nottinghamshire,"5,670","5,891","5,999","6,148","6,423","6,668","7,016","7,349","7,662","7,923","8,096","7,827","8,153","8,491","8,775","9,007","9,255","9,615","9,832","10,132","10,507","10,863","10,608","11,219","12,318","12,982"
ITL3,TLF16,South Nottinghamshire,"3,891","4,061","4,112","4,262","4,397","4,524","4,760","5,045","5,247","5,489","5,631","5,493","5,703","5,854","6,129","6,328","6,425","6,660","6,827","7,034","7,497","7,694","7,588","7,944","8,928","9,634"
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire","24,084","24,736","26,149","26,953","27,823","29,524","31,146","32,513","34,774","36,619","38,075","36,812","38,737","38,971","40,185","42,153","44,468","46,059","47,635","49,399","51,629","53,261","50,051","55,951","60,408","65,486"
ITL3,TLF21,Leicester,"4,223","4,363","4,585","4,709","4,848","5,179","5,563","5,825","6,236","6,568","6,820","6,728","7,124","7,257","7,494","7,813","8,477","8,770","9,038","9,200","9,543","9,817","9,332","10,281","10,643","11,439"
ITL3,TLF22,Leicestershire CC and Rutland,"9,815","10,059","10,634","11,008","11,461","12,226","12,867","13,393","14,303","15,011","15,703","15,155","15,870","15,810","16,356","17,071","17,865","18,499","19,066","19,744","20,482","20,964","19,424","21,941","24,121","26,678"
ITL3,TLF24,West Northamptonshire,"5,969","6,107","6,531","6,750","6,976","7,300","7,680","8,087","8,769","9,296","9,594","9,244","9,716","9,900","10,023","10,706","11,219","11,656","12,169","12,901","13,726","14,271","13,505","15,098","16,308","17,434"
ITL3,TLF25,North Northamptonshire,"4,076","4,206","4,400","4,486","4,538","4,818","5,036","5,208","5,466","5,743","5,959","5,685","6,026","6,003","6,312","6,563","6,906","7,134","7,363","7,554","7,879","8,209","7,791","8,631","9,335","9,936"
ITL2,TLF3,Lincolnshire,"8,430","8,623","9,060","9,718","10,257","10,833","10,768","11,230","11,987","12,567","13,224","12,728","13,163","13,522","14,091","14,862","15,434","15,703","15,966","17,028","17,806","18,767","17,871","19,432","20,608","22,024"
ITL3,TLF30,Lincolnshire CC,"8,430","8,623","9,060","9,718","10,257","10,833","10,768","11,230","11,987","12,567","13,224","12,728","13,163","13,522","14,091","14,862","15,434","15,703","15,966","17,028","17,806","18,767","17,871","19,432","20,608","22,024"
ITL1,TLG,West Midlands,"78,899","81,671","84,203","87,190","90,356","94,929","99,664","104,044","107,839","111,320","114,674","110,430","115,255","119,830","123,715","129,336","135,326","140,070","146,558","153,755","158,668","162,287","152,258","166,017","180,038","195,208"
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire","19,008","20,187","21,106","21,474","22,142","23,394","24,437","25,458","26,948","27,337","28,465","27,461","28,614","30,271","31,962","33,891","35,768","37,141","37,942","41,268","42,435","43,053","40,747","42,806","48,608","53,817"
ITL3,TLG11,"Herefordshire, County of","2,400","2,531","2,660","2,696","2,829","2,914","2,904","2,992","3,104","3,192","3,361","3,222","3,287","3,485","3,604","3,765","3,966","4,065","4,130","4,317","4,512","4,653","4,397","4,754","5,251","5,645"
ITL3,TLG12,Worcestershire CC,"7,757","8,141","8,524","8,704","8,897","9,439","10,001","10,304","10,985","11,005","11,479","11,264","11,685","12,391","13,069","13,589","14,259","14,465","14,643","15,651","16,127","16,487","15,846","16,607","18,593","20,050"
ITL3,TLG13,Warwickshire CC,"8,851","9,516","9,921","10,073","10,416","11,041","11,532","12,163","12,859","13,141","13,625","12,976","13,642","14,395","15,288","16,537","17,543","18,611","19,169","21,300","21,796","21,913","20,504","21,444","24,764","28,122"
ITL2,TLG2,Shropshire and Staffordshire,"20,887","21,320","21,832","22,644","23,828","25,097","26,513","27,621","28,575","29,372","30,712","29,233","30,484","31,707","32,272","33,650","34,671","35,676","36,905","38,421","39,794","41,089","39,226","44,687","46,040","48,948"
ITL3,TLG21,Telford and Wrekin,"2,584","2,686","2,715","2,863","2,947","3,073","3,239","3,339","3,451","3,532","3,647","3,516","3,628","3,787","3,908","4,090","4,194","4,253","4,637","4,813","4,973","5,248","5,258","5,935","6,208","6,400"
ITL3,TLG22,Shropshire,"3,773","3,857","3,987","4,153","4,400","4,648","4,867","5,102","5,283","5,435","5,743","5,473","5,655","5,858","5,974","6,251","6,489","6,568","6,801","6,967","7,278","7,378","7,003","7,990","8,462","8,992"
ITL3,TLG23,Stoke-on-Trent,"3,179","3,211","3,276","3,370","3,536","3,732","4,000","4,184","4,366","4,527","4,805","4,716","4,831","5,042","5,181","5,395","5,479","5,602","5,621","5,988","6,371","6,591","6,460","7,167","7,160","7,798"
ITL3,TLG24,Staffordshire CC,"11,351","11,567","11,854","12,258","12,944","13,643","14,406","14,996","15,475","15,878","16,517","15,528","16,370","17,019","17,210","17,914","18,509","19,254","19,847","20,654","21,172","21,871","20,505","23,595","24,210","25,758"
ITL2,TLG3,West Midlands,"39,003","40,164","41,265","43,072","44,386","46,438","48,714","50,964","52,316","54,611","55,497","53,736","56,157","57,852","59,481","61,795","64,887","67,252","71,710","74,066","76,438","78,145","72,285","78,523","85,390","92,443"
ITL3,TLG31,Birmingham,"14,976","15,501","15,940","16,762","17,388","18,401","19,598","20,592","21,156","22,254","22,621","22,264","23,109","23,741","24,321","25,485","26,534","27,405","28,791","29,522","30,739","31,496","29,560","32,280","35,353","38,902"
ITL3,TLG32,Solihull,"4,557","4,631","4,877","5,108","5,179","5,369","5,508","5,742","5,866","6,099","6,086","5,692","6,169","6,373","6,683","6,966","7,339","8,035","9,063","9,887","10,184","10,506","9,075","9,541","10,783","11,614"
ITL3,TLG33,Coventry,"5,385","5,529","5,686","5,938","6,033","6,308","6,599","6,972","7,075","7,459","7,729","7,675","8,106","8,319","8,499","8,737","9,395","9,969","10,919","10,752","10,937","11,191","10,328","11,147","11,902","12,884"
ITL3,TLG36,Dudley,"3,666","3,797","3,865","4,040","4,164","4,256","4,417","4,559","4,694","4,895","4,925","4,615","4,814","4,964","5,165","5,282","5,420","5,471","5,669","5,890","5,988","6,168","5,699","6,339","6,850","7,111"
ITL3,TLG37,Sandwell,"4,097","4,159","4,204","4,299","4,470","4,668","4,817","4,980","5,192","5,264","5,348","5,209","5,333","5,363","5,561","5,760","6,236","6,455","6,760","7,082","7,340","7,344","7,086","7,378","7,773","8,346"
ITL3,TLG38,Walsall,"3,003","3,089","3,138","3,221","3,313","3,460","3,622","3,772","3,850","3,992","4,051","3,810","4,021","4,276","4,444","4,698","4,997","5,091","5,344","5,430","5,447","5,454","4,985","5,592","5,930","6,348"
ITL3,TLG39,Wolverhampton,"3,319","3,458","3,554","3,705","3,838","3,976","4,154","4,348","4,482","4,648","4,736","4,472","4,605","4,816","4,809","4,865","4,966","4,826","5,165","5,503","5,804","5,986","5,554","6,246","6,799","7,240"
ITL1,TLH,East,"86,263","90,049","94,873","99,707","103,571","110,109","114,087","120,461","126,384","131,316","135,723","131,358","134,739","137,061","141,300","147,436","155,548","161,535","168,610","179,691","183,453","190,937","179,316","195,827","212,015","229,264"
ITL2,TLH2,Bedfordshire and Hertfordshire,"29,015","30,706","32,397","33,838","35,043","37,041","38,429","40,963","42,109","44,051","46,187","43,974","44,166","44,701","45,611","48,669","52,092","54,554","56,978","61,293","62,484","64,865","60,231","66,386","70,770","76,548"
ITL3,TLH21,Luton,"3,142","3,273","3,559","3,724","3,822","4,003","4,060","4,221","4,360","4,641","4,860","4,523","4,620","4,681","4,848","5,349","5,923","6,216","6,328","6,666","6,747","7,024","5,910","6,314","7,103","7,654"
ITL3,TLH24,Bedford,"2,271","2,392","2,501","2,631","2,745","2,891","2,987","3,211","3,310","3,426","3,584","3,447","3,458","3,474","3,562","3,699","3,950","4,127","4,274","4,597","4,653","4,887","4,451","5,001","5,521","5,847"
ITL3,TLH25,Central Bedfordshire,"3,272","3,418","3,633","3,763","3,937","4,108","4,193","4,421","4,494","4,638","4,821","4,583","4,749","4,924","5,098","5,462","5,783","6,042","6,454","6,979","7,065","7,036","6,327","7,040","7,740","8,521"
ITL3,TLH26,North and East Hertfordshire,"9,734","10,508","11,021","11,446","11,819","12,529","12,949","14,077","14,608","15,215","16,217","15,300","15,062","14,899","15,024","15,830","16,753","17,026","17,568","18,594","19,081","20,336","19,571","21,623","22,414","24,747"
ITL3,TLH27,South West Hertfordshire,"10,597","11,114","11,684","12,274","12,720","13,510","14,241","15,033","15,336","16,131","16,704","16,120","16,278","16,722","17,080","18,330","19,683","21,143","22,354","24,458","24,938","25,582","23,971","26,408","27,990","29,780"
ITL2,TLH3,Essex,"23,651","24,163","25,472","27,131","27,972","30,503","31,336","32,478","33,852","35,212","36,039","34,807","36,420","36,614","37,686","38,782","41,120","43,051","45,103","48,375","49,873","51,057","46,849","52,567","57,952","61,895"
ITL3,TLH31,Southend-on-Sea,"1,770","1,843","1,922","2,040","2,132","2,298","2,413","2,491","2,642","2,748","2,833","2,810","2,882","2,923","3,021","3,067","3,191","3,229","3,351","3,576","3,689","3,621","3,223","3,615","3,747","3,999"
ITL3,TLH32,Thurrock,"2,358","2,344","2,381","2,548","2,586","2,935","3,044","3,216","3,332","3,464","3,514","3,444","3,565","3,449","3,577","3,519","3,793","4,064","4,134","4,609","4,838","4,972","4,682","5,286","6,140","6,685"
ITL3,TLH34,Essex Haven Gateway,"5,290","5,384","5,686","6,058","6,200","6,755","6,965","7,225","7,485","7,759","7,989","7,725","8,121","8,268","8,538","8,741","9,277","9,918","10,639","11,574","11,760","11,903","10,824","12,223","13,257","14,450"
ITL3,TLH35,West Essex,"4,688","4,889","5,127","5,453","5,732","6,255","6,453","6,661","6,965","7,280","7,371","7,058","7,447","7,385","7,412","7,678","7,958","8,487","8,995","9,618","9,897","9,942","8,822","10,070","11,020","11,806"
ITL3,TLH36,Heart of Essex,"4,976","5,060","5,382","5,796","5,954","6,449","6,588","6,798","7,119","7,424","7,479","7,363","7,595","7,676","7,874","8,097","8,875","9,275","9,552","10,230","10,613","11,036","10,070","11,253","12,433","12,977"
ITL3,TLH37,Essex Thames Gateway,"4,568","4,643","4,974","5,237","5,367","5,811","5,873","6,087","6,308","6,536","6,854","6,408","6,810","6,912","7,263","7,680","8,025","8,079","8,432","8,767","9,076","9,583","9,229","10,119","11,354","11,979"
ITL2,TLH4,Cambridgeshire and Peterborough,"13,164","13,813","14,369","15,149","15,848","16,573","17,347","18,544","20,013","20,747","21,234","20,720","21,546","22,198","23,099","23,604","24,656","25,349","26,570","28,285","29,126","30,205","29,897","31,702","34,124","37,428"
ITL3,TLH41,Peterborough,"3,503","3,669","3,703","3,883","3,982","4,141","4,446","4,925","5,447","5,545","5,461","5,043","5,211","5,401","5,570","5,585","6,008","5,917","6,347","6,989","7,482","7,181","7,002","7,559","7,917","8,766"
ITL3,TLH42,Cambridgeshire CC,"9,661","10,144","10,666","11,266","11,866","12,433","12,901","13,619","14,566","15,201","15,773","15,678","16,335","16,797","17,529","18,019","18,648","19,432","20,223","21,297","21,644","23,024","22,895","24,143","26,208","28,662"
ITL2,TLH5,Norfolk,"10,168","10,601","11,274","11,769","12,361","13,045","13,490","14,192","15,180","15,687","16,306","16,336","16,712","17,146","17,906","18,662","19,285","19,636","20,194","21,210","21,075","22,809","21,643","23,323","25,398","27,713"
