Public_health_unit,Antigen,Age,Year,Coverage
Durham Region Health Department,MCC,10,2023-2024,95.8
Durham Region Health Department,MCC,11,2023-2024,95.9
Durham Region Health Department,MCC,12,2023-2024,96.6
Durham Region Health Department,MCV4,13,2023-2024,89.2
Durham Region Health Department,MCV4,14,2023-2024,92.5
Durham Region Health Department,MCV4,15,2023-2024,89
Durham Region Health Department,MCV4,16,2023-2024,94
Durham Region Health Department,Measles,5,2023-2024,36.3
Durham Region Health Department,Measles,6,2023-2024,39.5
Durham Region Health Department,Measles,8,2023-2024,70.8
Durham Region Health Department,Measles,9,2023-2024,76.6
Durham Region Health Department,Measles,10,2023-2024,92
Durham Region Health Department,Measles,11,2023-2024,93.8
Durham Region Health Department,Measles,12,2023-2024,93.3
Durham Region Health Department,Measles,13,2023-2024,94.2
Durham Region Health Department,Measles,14,2023-2024,95.5
Durham Region Health Department,Measles,15,2023-2024,95.8
Durham Region Health Department,Measles,16,2023-2024,95.6
Durham Region Health Department,Mumps,5,2023-2024,36.1
Durham Region Health Department,Mumps,6,2023-2024,39.1
Durham Region Health Department,Mumps,8,2023-2024,70.6
Durham Region Health Department,Mumps,9,2023-2024,76.3
Durham Region Health Department,Mumps,10,2023-2024,91.8
Durham Region Health Department,Mumps,11,2023-2024,93.6
Durham Region Health Department,Mumps,12,2023-2024,93.2
Durham Region Health Department,Mumps,13,2023-2024,94.1
Durham Region Health Department,Mumps,14,2023-2024,95.3
Durham Region Health Department,Mumps,15,2023-2024,95.7
Durham Region Health Department,Mumps,16,2023-2024,95.4
Durham Region Health Department,Pertussis,5,2023-2024,35.8
Durham Region Health Department,Pertussis,6,2023-2024,39.7
Durham Region Health Department,Pertussis,8,2023-2024,69.7
Durham Region Health Department,Pertussis,9,2023-2024,76.2
Durham Region Health Department,Pertussis,10,2023-2024,91.4
Durham Region Health Department,Pertussis,11,2023-2024,93.3
Durham Region Health Department,Pertussis,12,2023-2024,92.1
Durham Region Health Department,Pertussis,13,2023-2024,93.1
Durham Region Health Department,Pertussis,14,2023-2024,64
Durham Region Health Department,Pertussis,15,2023-2024,77.4
Durham Region Health Department,Pertussis,16,2023-2024,81
Durham Region Health Department,Pneumo,5,2023-2024,73.4
Durham Region Health Department,Pneumo,6,2023-2024,72.5
Durham Region Health Department,Pneumo,8,2023-2024,81.2
Durham Region Health Department,Pneumo,9,2023-2024,82.4
Durham Region Health Department,Pneumo,10,2023-2024,80.5
Durham Region Health Department,Pneumo,11,2023-2024,76.8
Durham Region Health Department,Pneumo,12,2023-2024,74.7
Durham Region Health Department,Polio,5,2023-2024,35.9
Durham Region Health Department,Polio,6,2023-2024,39.5
Durham Region Health Department,Polio,8,2023-2024,70.1
Durham Region Health Department,Polio,9,2023-2024,76.7
Durham Region Health Department,Polio,10,2023-2024,91.7
Durham Region Health Department,Polio,11,2023-2024,93.8
Durham Region Health Department,Polio,12,2023-2024,92.8
Durham Region Health Department,Polio,13,2023-2024,93.8
Durham Region Health Department,Polio,14,2023-2024,94.9
Durham Region Health Department,Polio,15,2023-2024,94.8
Durham Region Health Department,Polio,16,2023-2024,94.1
Durham Region Health Department,Rota,5,2023-2024,67.3
Durham Region Health Department,Rota,6,2023-2024,71.3
Durham Region Health Department,Rubella,5,2023-2024,83
Durham Region Health Department,Rubella,6,2023-2024,82.9
Durham Region Health Department,Rubella,8,2023-2024,92.5
Durham Region Health Department,Rubella,9,2023-2024,94.5
Durham Region Health Department,Rubella,10,2023-2024,96.5
Durham Region Health Department,Rubella,11,2023-2024,96.6
Durham Region Health Department,Rubella,12,2023-2024,96.1
Durham Region Health Department,Rubella,13,2023-2024,96.3
Durham Region Health Department,Rubella,14,2023-2024,97.2
Durham Region Health Department,Rubella,15,2023-2024,97.4
Durham Region Health Department,Rubella,16,2023-2024,97.3
Durham Region Health Department,Tetanus,5,2023-2024,35.9
Durham Region Health Department,Tetanus,6,2023-2024,39.8
Durham Region Health Department,Tetanus,8,2023-2024,69.8
Durham Region Health Department,Tetanus,9,2023-2024,76.3
Durham Region Health Department,Tetanus,10,2023-2024,91.4
Durham Region Health Department,Tetanus,11,2023-2024,93.4
Durham Region Health Department,Tetanus,12,2023-2024,92.3
Durham Region Health Department,Tetanus,13,2023-2024,93.2
Durham Region Health Department,Tetanus,14,2023-2024,64
Durham Region Health Department,Tetanus,15,2023-2024,77.2
Durham Region Health Department,Tetanus,16,2023-2024,80.7
Durham Region Health Department,Varicella,5,2023-2024,34.9
Durham Region Health Department,Varicella,6,2023-2024,37.5
Durham Region Health Department,Varicella,8,2023-2024,68.6
Durham Region Health Department,Varicella,9,2023-2024,74.4
Durham Region Health Department,Varicella,10,2023-2024,90.1
Durham Region Health Department,Varicella,11,2023-2024,92.5
Durham Region Health Department,Varicella,12,2023-2024,91.6
Grey Bruce Public Health,HPV,12,2023-2024,57.4
Grey Bruce Public Health,HepB,12,2023-2024,63.8
Grey Bruce Public Health,HPV,17,2023-2024,75.1
Grey Bruce Public Health,Rota,7,2023-2024,81.8
Grey Bruce Public Health,Diphtheria,17,2023-2024,82.7
Grey Bruce Public Health,HepB,17,2023-2024,86.7
Grey Bruce Public Health,MCV4,12,2023-2024,84.1
Grey Bruce Public Health,Pertussis,17,2023-2024,82.9
Grey Bruce Public Health,Tetanus,17,2023-2024,82.7
Grey Bruce Public Health,Diphtheria,7,2023-2024,89.5
Grey Bruce Public Health,Hib,7,2023-2024,88.7
Grey Bruce Public Health,MCC,7,2023-2024,94
Grey Bruce Public Health,Measles,7,2023-2024,89.1
Grey Bruce Public Health,Mumps,7,2023-2024,89.1
Grey Bruce Public Health,Pertussis,7,2023-2024,89.5
Grey Bruce Public Health,Pneumo,7,2023-2024,88.3
Grey Bruce Public Health,Polio,7,2023-2024,89.6
Grey Bruce Public Health,Rubella,7,2023-2024,94.9
Grey Bruce Public Health,Tetanus,7,2023-2024,89.5
Grey Bruce Public Health,Varicella,7,2023-2024,88.7
Grey Bruce Public Health,MCV4,17,2023-2024,95.9
Grey Bruce Public Health,Measles,17,2023-2024,95.9
Grey Bruce Public Health,Mumps,17,2023-2024,95.9
Grey Bruce Public Health,Polio,17,2023-2024,96
Grey Bruce Public Health,Rubella,17,2023-2024,97.4
Grey Bruce Public Health,Diphtheria,5,2023-2024,50.7
Grey Bruce Public Health,Diphtheria,6,2023-2024,66.7
Grey Bruce Public Health,Diphtheria,8,2023-2024,87.2
Grey Bruce Public Health,Diphtheria,9,2023-2024,89.3
Grey Bruce Public Health,Diphtheria,10,2023-2024,89.9
Grey Bruce Public Health,Diphtheria,11,2023-2024,92.9
Grey Bruce Public Health,Diphtheria,12,2023-2024,93.6
Grey Bruce Public Health,Diphtheria,13,2023-2024,94
Grey Bruce Public Health,Diphtheria,14,2023-2024,79.9
Grey Bruce Public Health,Diphtheria,15,2023-2024,76.7
Grey Bruce Public Health,Diphtheria,16,2023-2024,81.2
Grey Bruce Public Health,HepB,13,2023-2024,77.7
Grey Bruce Public Health,HepB,14,2023-2024,79.7
Grey Bruce Public Health,HepB,15,2023-2024,77
Grey Bruce Public Health,HepB,16,2023-2024,76.4
Grey Bruce Public Health,Hib,5,2023-2024,82.5
Grey Bruce Public Health,Hib,6,2023-2024,86.6
Grey Bruce Public Health,Hib,8,2023-2024,90
Grey Bruce Public Health,Hib,9,2023-2024,90.1
Grey Bruce Public Health,Hib,10,2023-2024,89.1
Grey Bruce Public Health,Hib,11,2023-2024,88.7
Grey Bruce Public Health,Hib,12,2023-2024,89
Grey Bruce Public Health,HPV,13,2023-2024,70
Grey Bruce Public Health,HPV,14,2023-2024,73.5
Grey Bruce Public Health,HPV,15,2023-2024,71.3
Grey Bruce Public Health,HPV,16,2023-2024,72.3
Grey Bruce Public Health,MCC,5,2023-2024,90.2
Grey Bruce Public Health,MCC,6,2023-2024,90.6
Grey Bruce Public Health,MCC,8,2023-2024,94.1
Grey Bruce Public Health,MCC,9,2023-2024,94.9
Grey Bruce Public Health,MCC,10,2023-2024,94.7
Grey Bruce Public Health,MCC,11,2023-2024,94.1
Grey Bruce Public Health,MCC,12,2023-2024,95.5
Grey Bruce Public Health,MCV4,13,2023-2024,90.3
Grey Bruce Public Health,MCV4,14,2023-2024,92.6
Grey Bruce Public Health,MCV4,15,2023-2024,92.4
Grey Bruce Public Health,MCV4,16,2023-2024,93.6
Grey Bruce Public Health,Measles,5,2023-2024,50.9
Grey Bruce Public Health,Measles,6,2023-2024,66.4
Grey Bruce Public Health,Measles,8,2023-2024,87
Grey Bruce Public Health,Measles,9,2023-2024,89.2
Grey Bruce Public Health,Measles,10,2023-2024,90.5
Grey Bruce Public Health,Measles,11,2023-2024,92.3
Grey Bruce Public Health,Measles,12,2023-2024,93.7
Grey Bruce Public Health,Measles,13,2023-2024,94.3
Grey Bruce Public Health,Measles,14,2023-2024,96.1
Grey Bruce Public Health,Measles,15,2023-2024,95.9
Grey Bruce Public Health,Measles,16,2023-2024,95
Grey Bruce Public Health,Mumps,5,2023-2024,50.7
Grey Bruce Public Health,Mumps,6,2023-2024,66.4
Grey Bruce Public Health,Mumps,8,2023-2024,87
Grey Bruce Public Health,Mumps,9,2023-2024,89.1
Grey Bruce Public Health,Mumps,10,2023-2024,90.5
Grey Bruce Public Health,Mumps,11,2023-2024,92.3
Grey Bruce Public Health,Mumps,12,2023-2024,93.7
Grey Bruce Public Health,Mumps,13,2023-2024,94.1
Grey Bruce Public Health,Mumps,14,2023-2024,96.1
Grey Bruce Public Health,Mumps,15,2023-2024,95.9
Grey Bruce Public Health,Mumps,16,2023-2024,94.9
Grey Bruce Public Health,Pertussis,5,2023-2024,50.7
