Geography,Year,Immunization Type,Birth Cohort,Immunization Percent,Standard Error,Standard Score,Alberta Percent
Z2,2017,MMR Dose 2 by Age 13,2004,94.65,0.16,20.44,91.45
Z2,2018,MMR Dose 2 by Age 13,2005,93.64000000000001,0.17,13.790000000000001,91.34000000000002
Z2,2019,MMR Dose 2 by Age 13,2006,93.44000000000001,0.17,12.02,91.46000000000001
Z2,2020,MMR Dose 2 by Age 13,2007,93.13000000000001,0.16,13.04,91.01
Z2,2021,MMR Dose 2 by Age 13,2008,91.80000000000001,0.18,11.34,89.81000000000002
Z2,2022,MMR Dose 2 by Age 13,2009,92.06,0.17,12.83,89.83000000000001
Z2,2023,MMR Dose 2 by Age 13,2010,92.68,0.16,18.64,89.61000000000001
Z2,2014,MMR Dose 2 by Age 17,1997,96.34000000000002,0.13,29.470000000000002,92.41000000000001
Z2,2015,MMR Dose 2 by Age 17,1998,96.9,0.12000000000000001,35.38,92.75
Z2,2016,MMR Dose 2 by Age 17,1999,97.19000000000001,0.11,35.67,93.22
Z2,2017,MMR Dose 2 by Age 17,2000,97.52,0.1,40.2,93.49000000000001
Z2,2018,MMR Dose 2 by Age 17,2001,97.42,0.1,39.790000000000006,93.37
Z2,2019,MMR Dose 2 by Age 17,2002,97.26,0.1,35.52,93.56
Z2,2020,MMR Dose 2 by Age 17,2003,96.49000000000001,0.12000000000000001,18.29,94.32000000000001
Z2,2021,MMR Dose 2 by Age 17,2004,96.55,0.11,19.38,94.35000000000001
Z2,2022,MMR Dose 2 by Age 17,2005,95.44000000000001,0.13,13.83,93.60000000000001
Z2,2023,MMR Dose 2 by Age 17,2006,94.30000000000001,0.15000000000000002,11.150000000000002,92.62
Z2,2023,MMR Dose 2 by Age 2,2021,74.98,0.30000000000000004,18.75,69.32
Z2,2014,MMR Dose 2 by Age 7,2007,84.57,0.25,15.82,80.57
Z2,2015,MMR Dose 2 by Age 7,2008,84.52,0.25,13.06,81.30000000000001
Z2,2016,MMR Dose 2 by Age 7,2009,85.34000000000002,0.24000000000000002,13.55,82.10000000000001
Z2,2017,MMR Dose 2 by Age 7,2010,85.52,0.24000000000000002,16.36,81.63000000000001
Z2,2018,MMR Dose 2 by Age 7,2011,85.34000000000002,0.24000000000000002,17.910000000000004,81.08
Z2,2019,MMR Dose 2 by Age 7,2012,85.37,0.24000000000000002,15.360000000000001,81.72
Z2,2020,MMR Dose 2 by Age 7,2013,81.55,0.26,15.09,77.60000000000001
Z2,2021,MMR Dose 2 by Age 7,2014,76.85000000000001,0.28,7.53,74.73
Z2,2022,MMR Dose 2 by Age 7,2015,78.7,0.27,17.02,74.08
Z2,2023,MMR Dose 2 by Age 7,2016,79.23,0.26,24.98,72.63000000000001
Z3,2014,MMR Dose 1 by Age 13,2001,94.81000000000002,0.31000000000000005,-5.05,96.38000000000001
Z3,2015,MMR Dose 1 by Age 13,2002,95.80000000000001,0.27,-2.66,96.51
Z3,2016,MMR Dose 1 by Age 13,2003,95.42,0.28,-4.49,96.66000000000001
Z3,2017,MMR Dose 1 by Age 13,2004,95.57,0.27,-5.02,96.92
Z3,2018,MMR Dose 1 by Age 13,2005,94.99000000000001,0.29000000000000004,-7.29,97.09
Z3,2019,MMR Dose 1 by Age 13,2006,95.13000000000001,0.27,-6.2700000000000005,96.81000000000002
Z3,2020,MMR Dose 1 by Age 13,2007,94.29,0.29000000000000004,-6.99,96.30000000000001
Z3,2021,MMR Dose 1 by Age 13,2008,93.45,0.31000000000000005,-7.11,95.64000000000001
Z3,2022,MMR Dose 1 by Age 13,2009,93.13000000000001,0.32000000000000006,-6.72,95.25
Z3,2023,MMR Dose 1 by Age 13,2010,91.98,0.35000000000000003,-8.53,94.95
Z3,2014,MMR Dose 1 by Age 17,1997,95.09,0.30000000000000004,-3.75,96.23
Z3,2015,MMR Dose 1 by Age 17,1998,95.31000000000002,0.29000000000000004,-4.11,96.51
Z3,2016,MMR Dose 1 by Age 17,1999,96.0,0.26,-2.72,96.71000000000001
Z3,2017,MMR Dose 1 by Age 17,2000,95.80000000000001,0.27,-4.23,96.94000000000001
Z3,2018,MMR Dose 1 by Age 17,2001,95.85000000000001,0.27,-4.430000000000001,97.03
Z3,2019,MMR Dose 1 by Age 17,2002,96.87,0.22,-1.58,97.22
Z3,2020,MMR Dose 1 by Age 17,2003,96.30000000000001,0.24000000000000002,-6.08,97.75
Z3,2021,MMR Dose 1 by Age 17,2004,96.61000000000001,0.22,-5.5,97.84000000000002
Z3,2022,MMR Dose 1 by Age 17,2005,95.7,0.26,-8.16,97.83000000000001
Z3,2023,MMR Dose 1 by Age 17,2006,95.54,0.25,-6.82,97.27
Z3,2014,MMR Dose 1 by Age 2,2012,83.49000000000001,0.49,-9.39,88.05
Z3,2015,MMR Dose 1 by Age 2,2013,82.77,0.49,-8.780000000000001,87.11000000000001
Z3,2016,MMR Dose 1 by Age 2,2014,83.77,0.48000000000000004,-7.3100000000000005,87.29
Z3,2017,MMR Dose 1 by Age 2,2015,82.77,0.49,-8.700000000000001,87.05
Z3,2018,MMR Dose 1 by Age 2,2016,81.76,0.52,-9.64,86.73
Z3,2019,MMR Dose 1 by Age 2,2017,82.46000000000001,0.52,-8.69,86.96000000000001
Z3,2020,MMR Dose 1 by Age 2,2018,82.86000000000001,0.52,-7.2700000000000005,86.65
Z3,2021,MMR Dose 1 by Age 2,2019,77.06,0.6000000000000001,-10.280000000000001,83.2
Z3,2022,MMR Dose 1 by Age 2,2020,74.64000000000001,0.6300000000000001,-11.71,82.07
Z3,2023,MMR Dose 1 by Age 2,2021,73.16000000000001,0.6400000000000001,-13.38,81.67
Z3,2014,MMR Dose 2 by Age 13,2001,89.24000000000001,0.43000000000000005,-5.840000000000001,91.76
Z3,2015,MMR Dose 2 by Age 13,2002,90.19000000000001,0.4,-3.71,91.68
Z3,2016,MMR Dose 2 by Age 13,2003,88.91000000000001,0.42000000000000004,-5.390000000000001,91.18
Z3,2017,MMR Dose 2 by Age 13,2004,89.88000000000001,0.4,-3.9200000000000004,91.45
Z3,2018,MMR Dose 2 by Age 13,2005,88.06,0.43000000000000005,-7.680000000000001,91.34000000000002
Z3,2019,MMR Dose 2 by Age 13,2006,88.76,0.4,-6.680000000000001,91.46000000000001
Z3,2020,MMR Dose 2 by Age 13,2007,87.92,0.41000000000000003,-7.53,91.01
Z3,2021,MMR Dose 2 by Age 13,2008,86.49000000000001,0.43000000000000005,-7.75,89.81000000000002
Z3,2022,MMR Dose 2 by Age 13,2009,87.01,0.42000000000000004,-6.670000000000001,89.83000000000001
Z3,2023,MMR Dose 2 by Age 13,2010,85.41000000000001,0.45,-9.38,89.61000000000001
Z3,2014,MMR Dose 2 by Age 17,1997,91.57,0.38000000000000006,-2.23,92.41000000000001
Z3,2015,MMR Dose 2 by Age 17,1998,91.94000000000001,0.37000000000000005,-2.19,92.75
Z3,2016,MMR Dose 2 by Age 17,1999,92.45,0.35000000000000003,-2.2,93.22
Z3,2017,MMR Dose 2 by Age 17,2000,91.79,0.37000000000000005,-4.630000000000001,93.49000000000001
Z3,2018,MMR Dose 2 by Age 17,2001,91.71000000000001,0.37000000000000005,-4.5,93.37
Z3,2019,MMR Dose 2 by Age 17,2002,92.92,0.33000000000000007,-1.9300000000000002,93.56
Z3,2020,MMR Dose 2 by Age 17,2003,91.66000000000001,0.36000000000000004,-7.42,94.32000000000001
Z3,2021,MMR Dose 2 by Age 17,2004,92.51,0.34,-5.430000000000001,94.35000000000001
Z3,2022,MMR Dose 2 by Age 17,2005,90.19000000000001,0.39,-8.790000000000001,93.60000000000001
Z3,2023,MMR Dose 2 by Age 17,2006,90.10000000000001,0.38000000000000006,-6.680000000000001,92.62
Z3,2023,MMR Dose 2 by Age 2,2021,57.690000000000005,0.7000000000000001,-16.54,69.32
Z3,2014,MMR Dose 2 by Age 7,2007,76.78,0.54,-6.98,80.57
Z3,2015,MMR Dose 2 by Age 7,2008,76.35,0.54,-9.12,81.30000000000001
Z3,2016,MMR Dose 2 by Age 7,2009,77.84000000000002,0.53,-8.07,82.10000000000001
Z3,2017,MMR Dose 2 by Age 7,2010,75.98,0.55,-10.32,81.63000000000001
Z3,2018,MMR Dose 2 by Age 7,2011,76.67,0.54,-8.16,81.08
Z3,2019,MMR Dose 2 by Age 7,2012,76.73,0.54,-9.250000000000002,81.72
Z3,2020,MMR Dose 2 by Age 7,2013,73.59,0.5700000000000001,-7.07,77.60000000000001
Z3,2021,MMR Dose 2 by Age 7,2014,71.81,0.58,-5.01,74.73
Z3,2022,MMR Dose 2 by Age 7,2015,72.10000000000001,0.58,-3.4200000000000004,74.08
Z3,2023,MMR Dose 2 by Age 7,2016,67.22,0.6100000000000001,-8.84,72.63000000000001
Z4,2014,MMR Dose 1 by Age 13,2001,96.16000000000001,0.16,-1.36,96.38000000000001
Z4,2015,MMR Dose 1 by Age 13,2002,96.18,0.16,-2.07,96.51
Z4,2016,MMR Dose 1 by Age 13,2003,96.78,0.14,0.88,96.66000000000001
Z4,2017,MMR Dose 1 by Age 13,2004,97.01,0.13,0.68,96.92
Z4,2018,MMR Dose 1 by Age 13,2005,97.89000000000001,0.1,8.15,97.09
Z4,2019,MMR Dose 1 by Age 13,2006,97.46000000000001,0.11,5.92,96.81000000000002
Z4,2020,MMR Dose 1 by Age 13,2007,97.09,0.11,6.92,96.30000000000001
Z4,2021,MMR Dose 1 by Age 13,2008,96.53,0.13,7.05,95.64000000000001
Z4,2022,MMR Dose 1 by Age 13,2009,96.35000000000001,0.13,8.53,95.25
Z4,2023,MMR Dose 1 by Age 13,2010,95.64000000000001,0.14,4.82,94.95
Z4,2014,MMR Dose 1 by Age 17,1997,95.02,0.19,-6.180000000000001,96.23
Z4,2015,MMR Dose 1 by Age 17,1998,95.4,0.18,-6.11,96.51
Z4,2016,MMR Dose 1 by Age 17,1999,95.77,0.17,-5.46,96.71000000000001
Z4,2017,MMR Dose 1 by Age 17,2000,96.45,0.15000000000000002,-3.16,96.94000000000001
Z4,2018,MMR Dose 1 by Age 17,2001,96.45,0.15000000000000002,-3.79,97.03
Z4,2019,MMR Dose 1 by Age 17,2002,96.60000000000001,0.14,-4.319999999999999,97.22
Z4,2020,MMR Dose 1 by Age 17,2003,98.06,0.09,3.35,97.75
Z4,2021,MMR Dose 1 by Age 17,2004,98.0,0.09,1.7500000000000002,97.84000000000002
Z4,2022,MMR Dose 1 by Age 17,2005,98.45,0.08,8.11,97.83000000000001
Z4,2023,MMR Dose 1 by Age 17,2006,97.88000000000001,0.09,6.48,97.27
Z4,2014,MMR Dose 1 by Age 2,2012,89.95,0.23,8.22,88.05
Z4,2015,MMR Dose 1 by Age 2,2013,89.92,0.23,12.23,87.11000000000001
Z4,2016,MMR Dose 1 by Age 2,2014,90.16000000000001,0.22,12.93,87.29
Z4,2017,MMR Dose 1 by Age 2,2015,89.83000000000001,0.22,12.42,87.05
Z4,2018,MMR Dose 1 by Age 2,2016,89.06,0.23,10.07,86.73
Z4,2019,MMR Dose 1 by Age 2,2017,89.12,0.23,9.250000000000002,86.96000000000001
Z4,2020,MMR Dose 1 by Age 2,2018,88.65,0.24000000000000002,8.33,86.65
Z4,2021,MMR Dose 1 by Age 2,2019,86.06,0.27,10.73,83.2
Z4,2022,MMR Dose 1 by Age 2,2020,85.64000000000001,0.27,13.01,82.07
Z4,2023,MMR Dose 1 by Age 2,2021,84.26,0.27,9.43,81.67
Z4,2014,MMR Dose 2 by Age 13,2001,89.75,0.26,-7.75,91.76
Z4,2015,MMR Dose 2 by Age 13,2002,89.15,0.26,-9.620000000000001,91.68
Z4,2016,MMR Dose 2 by Age 13,2003,89.19000000000001,0.26,-7.66,91.18
Z4,2017,MMR Dose 2 by Age 13,2004,89.86000000000001,0.25,-6.470000000000001,91.45
Z4,2018,MMR Dose 2 by Age 13,2005,91.58,0.22,1.12,91.34000000000002
Z4,2019,MMR Dose 2 by Age 13,2006,92.42,0.2,4.91,91.46000000000001
Z4,2020,MMR Dose 2 by Age 13,2007,91.87,0.2,4.38,91.01
Z4,2021,MMR Dose 2 by Age 13,2008,90.89000000000001,0.21000000000000002,5.24,89.81000000000002
