Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,Neither English nor French,Both sexes,6.743,5.045,8.441,,465,,2295,20.2,15.9,24.4,,33.8,25.2,42.4,,28.79,20.219,37.361,,85.17,81.312,89.027,,2.935,2.14,3.73,,0.151,0.109,0.192,,395,286,503,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,English and French,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,French outside Quebec,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Both sexes,1,,,,12920,,257795,5,4.8,5.2,,5,4.8,5.2,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,Neither English nor French,Males,6.367,4.304,8.431,,235,E,1200,19.5,13.2,25.9,,32.2,21.6,42.8,,27.131,16.543,37.72,,84.295,78.948,89.641,,2.845,1.727,3.963,E,0.147,0.087,0.207,E,198,117,279,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Males,1,,,,6695,,132510,5.1,4.8,5.3,,5.1,4.8,5.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,Neither English nor French,Females,7.687,5.688,9.685,,225,,1095,20.8,16.1,25.6,,38.2,28.4,48,,33.234,23.455,43.012,,86.99,83.426,90.555,,3.065,2.15,3.979,,0.156,0.109,0.203,,198,139,258,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Saskatchewan,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Females,1,,,,6220,,125275,5,4.7,5.2,,5,4.7,5.2,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Overall,Total,Both sexes,,,,,44470,,954650,4.7,4.5,4.8,,4.7,4.5,4.8,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Overall,"Total [Males, reference]",Males,1,,,,22490,,491575,4.6,4.4,4.7,,4.6,4.4,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Overall,Total [Females],Females,1.038,1.003,1.073,,21980,,463075,4.7,4.6,4.9,,4.7,4.6,4.9,,0.175,0.018,0.332,,3.692,0.449,6.936,,1.825,0.191,3.459,,0.085,0.009,0.161,,812,84,1540,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,0 to 11 years,Both sexes,,,,,29860,,635910,4.7,4.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,12 to 17 years,Both sexes,,,,,14610,,318740,4.6,4.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,0 to 11 years,Males,,,,,15175,,327075,4.6,4.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,12 to 17 years,Males,,,,,7315,,164505,4.4,4.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,0 to 11 years,Females,,,,,14695,,308840,4.8,4.6,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Age group,12 to 17 years,Females,,,,,7290,,154235,4.7,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations,Both sexes,2.349,2.176,2.522,,5250,,52215,10,9.4,10.7,,10.1,9.4,10.8,,5.786,5.093,6.479,,57.434,54.307,60.562,,6.775,5.954,7.596,,0.316,0.277,0.354,,3013,2645,3381,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations on reserve,Both sexes,2.342,2.112,2.572,,1650,,16465,10,9.1,10.9,,10,9.1,11,,5.756,4.809,6.702,,57.306,53.101,61.512,,2.122,1.762,2.483,,0.099,0.082,0.115,,944,786,1102,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations off reserve,Both sexes,2.354,2.141,2.567,,3595,,35755,10.1,9.2,10.9,,10.1,9.2,11,,5.806,4.93,6.682,,57.517,53.664,61.371,,4.655,3.944,5.365,,0.217,0.183,0.25,,2070,1749,2391,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Inuit,Both sexes,2.261,1.068,3.453,,95,E,1055,9.4,4.5,14.3,,9.7,4.6,14.8,,5.406,0.306,10.505,,55.764,32.929,78.598,,0.125,0.008,0.242,E,0.006,0,0.011,E,55,4,107,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Inuit outside Inuit Nunangat,Both sexes,2.261,1.068,3.453,,100,E,1055,9.4,4.5,14.3,,9.7,4.6,14.8,,5.406,0.306,10.505,,55.764,32.929,78.598,,0.125,0.008,0.242,E,0.006,0,0.011,E,55,4,107,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis,Both sexes,1.172,1.033,1.31,,1900,,37850,5,4.4,5.6,,5,4.5,5.6,,0.737,0.148,1.325,,14.658,4.555,24.761,,0.626,0.123,1.128,,0.029,0.006,0.053,,278,55,501,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in urban area (population centre),Both sexes,1.332,1.163,1.5,,1515,,26460,5.7,5,6.4,,5.7,5,6.4,,1.423,0.707,2.138,,24.911,15.347,34.474,,0.846,0.42,1.273,,0.039,0.02,0.059,,376,187,566,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in rural area,Both sexes,0.796,0.586,1.006,,385,,11390,3.4,2.5,4.3,,3.4,2.5,4.3,,-0.875,-1.781,0.031,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Both sexes,2.491,1.723,3.259,,315,E,2885,10.9,7.4,14.4,,10.7,7.4,14,,6.393,3.105,9.681,,59.854,46.853,72.855,,0.422,0.189,0.656,E,0.02,0.009,0.031,E,188,84,292,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Non-Indigenous [reference],Both sexes,1,,,,36920,,860645,4.3,4.2,4.4,,4.3,4.2,4.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations,Males,2.337,2.157,2.517,,2590,,26425,9.8,9.1,10.5,,9.8,9.2,10.5,,5.63,4.943,6.317,,57.215,53.912,60.519,,6.587,5.749,7.424,,0.301,0.264,0.339,,1481,1296,1667,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations on reserve,Males,2.302,2.054,2.551,,810,,8430,9.7,8.7,10.6,,9.7,8.7,10.7,,5.483,4.482,6.485,,56.568,51.779,61.358,,2.047,1.664,2.431,,0.094,0.076,0.111,,460,375,546,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations off reserve,Males,2.353,2.136,2.571,,1780,,17995,9.9,9,10.7,,9.9,9.1,10.7,,5.698,4.841,6.554,,57.508,53.549,61.467,,4.539,3.833,5.246,,0.208,0.176,0.24,,1021,863,1179,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Inuit,Males,2.476,1.022,3.93,,55,E,600,9.8,4,15.7,,10.4,4.3,16.5,,6.214,0.1,12.329,,59.615,35.511,83.719,,0.158,0.004,0.311,E,0.007,0,0.014,E,35,1,70,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Inuit outside Inuit Nunangat,Males,2.476,1.022,3.93,,60,E,605,9.8,4,15.7,,10.4,4.3,16.5,,6.214,0.1,12.329,,59.615,35.511,83.719,,0.158,0.004,0.311,E,0.007,0,0.014,E,35,1,70,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis,Males,1.233,1.056,1.411,,1010,,19480,5.2,4.5,5.9,,5.2,4.5,5.9,,0.982,0.244,1.721,,18.921,6.941,30.9,,0.851,0.209,1.494,,0.039,0.01,0.068,,191,47,335,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in urban area (population centre),Males,1.389,1.163,1.615,,790,,13495,5.9,5,6.8,,5.8,4.9,6.8,,1.639,0.702,2.575,,28.017,15.969,40.064,,0.987,0.421,1.552,,0.045,0.019,0.071,,222,95,349,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in rural area,Males,0.872,0.627,1.118,,215,,5985,3.7,2.7,4.7,,3.7,2.7,4.7,,-0.537,-1.576,0.502,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Males,2.29,1.318,3.263,,145,E,1540,9.6,5.5,13.8,,9.6,5.6,13.7,,5.431,1.368,9.495,,56.335,35.48,77.189,,0.371,0.084,0.659,E,0.017,0.004,0.03,E,84,19,148,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Non-Indigenous [reference],Males,1,,,,18680,,443525,4.2,4.1,4.4,,4.2,4.1,4.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations,Females,2.359,2.135,2.584,,2655,,25790,10.3,9.4,11.2,,10.3,9.4,11.2,,5.943,5.01,6.876,,57.614,53.568,61.659,,6.963,5.871,8.055,,0.331,0.277,0.384,,1531,1285,1777,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations on reserve,Females,2.382,2.101,2.663,,830,,8040,10.4,9.2,11.6,,10.4,9.2,11.6,,6.044,4.848,7.24,,58.025,53.111,62.94,,2.199,1.744,2.653,,0.104,0.083,0.126,,483,384,583,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,First Nations off reserve,Females,2.351,2.065,2.638,,1825,,17760,10.3,9.1,11.5,,10.3,9.1,11.5,,5.908,4.696,7.12,,57.469,52.223,62.715,,4.768,3.784,5.752,,0.226,0.179,0.274,,1048,827,1269,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Inuit,Females,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis,Females,1.109,0.953,1.264,,885,,18375,4.8,4.1,5.5,,4.8,4.2,5.5,,0.475,-0.204,1.153,,9.791,-2.976,22.559,,0.395,-0.17,0.96,,0.019,-0.008,0.046,,87,-38,211,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in urban area (population centre),Females,1.272,1.078,1.466,,720,,12965,5.5,4.7,6.4,,5.6,4.7,6.4,,1.19,0.341,2.039,,21.39,9.301,33.48,,0.699,0.204,1.194,,0.033,0.01,0.057,,154,44,263,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Métis in rural area,Females,0.713,0.48,0.947,,170,E,5405,3.1,2.1,4.1,,3.1,2.1,4.1,,-1.254,-2.286,-0.221,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Females,2.696,1.793,3.599,,165,E,1345,12.3,8,16.7,,11.8,7.8,15.7,,7.416,3.478,11.354,,62.909,50.153,75.666,,0.474,0.199,0.748,E,0.022,0.009,0.036,E,104,44,165,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Indigenous identity,Non-Indigenous [reference],Females,1,,,,18230,,417115,4.4,4.2,4.5,,4.4,4.2,4.5,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,First Nations/Inuit/Métis,Both sexes,2.431,2.267,2.595,,7415,,92955,8,7.5,8.4,,8,7.5,8.5,,4.707,4.24,5.173,,58.863,56.082,61.643,,9.811,8.837,10.786,,0.457,0.411,0.503,,4363,3928,4799,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Black ,Both sexes,2.536,2.318,2.753,,5675,,66310,8.6,8,9.1,,8.3,7.7,8.9,,5.051,4.43,5.672,,60.561,57.139,63.982,,7.722,6.734,8.711,,0.36,0.315,0.404,,3434,3007,3862,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Both sexes,1.901,1.716,2.085,,2600,,41960,6.2,5.7,6.7,,6.3,5.7,6.8,,2.963,2.404,3.523,,47.395,42.319,52.472,,2.771,2.234,3.308,,0.129,0.104,0.154,,1232,996,1469,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Southeast Asian (incl. Filipino) ,Both sexes,0.728,0.638,0.818,,1680,,68660,2.4,2.1,2.7,,2.4,2.1,2.7,,-0.894,-1.199,-0.588,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,South Asian ,Both sexes,1.308,1.181,1.435,,3375,,78130,4.3,3.9,4.7,,4.3,3.9,4.7,,1.013,0.611,1.415,,23.55,16.096,31.003,,1.788,1.071,2.504,,0.083,0.05,0.117,,795,478,1112,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Arab ,Both sexes,3.926,3.507,4.346,,3245,,24860,13.1,11.7,14.4,,12.9,11.6,14.3,,9.625,8.297,10.953,,74.53,71.815,77.245,,5.444,4.692,6.197,,0.254,0.218,0.289,,2421,2080,2763,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,West Asian,Both sexes,3.088,2.402,3.774,,650,,6385,10.1,7.9,12.3,,10.2,7.9,12.4,,6.868,4.621,9.115,,67.617,60.017,75.216,,0.981,0.656,1.306,,0.046,0.03,0.061,,436,291,581,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Latin American ,Both sexes,2.56,2.122,2.998,,1110,,13295,8.3,7,9.7,,8.4,7.1,9.8,,5.132,3.755,6.508,,60.94,54.191,67.688,,1.519,1.111,1.928,,0.071,0.052,0.09,,676,496,856,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Multiple origins,Both sexes,1.389,1.095,1.683,,710,,15815,4.5,3.5,5.4,,4.6,3.6,5.5,,1.279,0.316,2.241,,27.996,12.198,43.793,,0.447,0.112,0.783,,0.021,0.005,0.037,,199,49,349,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Origins responses not included elsewhere,Both sexes,1.583,0.866,2.3,,145,E,3040,4.9,2.7,7.1,,5.2,2.9,7.5,,1.917,-0.414,4.247,,36.817,7.538,66.095,,0.123,-0.028,0.274,E,0.006,-0.001,0.013,E,55,-12,122,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Total - Not white,Both sexes,1.961,1.868,2.055,,26605,,411420,6.5,6.3,6.6,,6.5,6.3,6.6,,3.162,2.948,3.375,,49.01,46.581,51.44,,29.315,27.264,31.365,,1.366,1.271,1.46,,13037,12135,13940,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,White [reference],Both sexes,1,,,,17875,,543240,3.3,3.2,3.4,,3.3,3.2,3.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,First Nations/Inuit/Métis,Males,2.478,2.278,2.678,,3740,,47540,7.9,7.4,8.3,,7.9,7.4,8.4,,4.701,4.19,5.212,,59.651,56.404,62.898,,9.911,8.792,11.031,,0.453,0.404,0.503,,2229,1986,2472,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Black ,Males,2.592,2.31,2.874,,2875,,33855,8.5,7.7,9.3,,8.2,7.5,9,,5.063,4.273,5.854,,61.426,57.196,65.656,,7.852,6.644,9.06,,0.359,0.304,0.415,,1766,1492,2040,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Males,2.03,1.798,2.262,,1375,,21515,6.4,5.8,7,,6.5,5.8,7.1,,3.274,2.614,3.935,,50.733,45.182,56.283,,3.098,2.436,3.761,,0.142,0.112,0.171,,697,552,842,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Southeast Asian (incl. Filipino) ,Males,0.742,0.624,0.86,,855,,35610,2.4,2,2.8,,2.4,2,2.7,,-0.82,-1.211,-0.43,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,South Asian ,Males,1.324,1.178,1.469,,1700,,40170,4.2,3.8,4.7,,4.2,3.8,4.6,,1.029,0.585,1.474,,24.457,16.19,32.724,,1.853,1.043,2.662,,0.085,0.048,0.121,,417,236,597,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Arab ,Males,3.898,3.423,4.373,,1650,,13075,12.6,11.1,14,,12.4,11,13.8,,9.216,7.801,10.63,,74.348,71.213,77.483,,5.443,4.592,6.295,,0.249,0.21,0.288,,1224,1032,1416,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,West Asian,Males,2.973,2.227,3.72,,315,,3360,9.5,7.1,11.9,,9.5,7.1,11.8,,6.275,3.924,8.625,,66.368,57.908,74.827,,0.942,0.586,1.298,,0.043,0.027,0.059,,212,132,292,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Latin American ,Males,2.888,2.324,3.451,,605,,6540,9.2,7.5,10.9,,9.2,7.5,10.9,,6.003,4.306,7.699,,65.371,58.511,72.231,,1.745,1.238,2.252,,0.08,0.057,0.103,,392,280,505,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Multiple origins,Males,1.507,1.102,1.912,,380,,8160,4.7,3.5,6,,4.8,3.5,6.1,,1.612,0.33,2.893,,33.637,14.884,52.39,,0.575,0.123,1.027,,0.026,0.006,0.047,,129,27,232,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Origins responses not included elsewhere,Males,1.688,0.65,2.727,,75,E,1490,5,1.9,8.1,,5.4,2.1,8.6,,2.189,-1.088,5.465,,40.77,0.57,80.971,,0.136,-0.069,0.341,E,0.006,-0.003,0.016,E,31,-15,76,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Total - Not white,Males,2.015,1.894,2.136,,13565,,211320,6.4,6.2,6.6,,6.4,6.2,6.6,,3.228,2.972,3.485,,50.381,47.409,53.353,,30.399,27.86,32.937,,1.391,1.279,1.503,,6837,6285,7388,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,White [reference],Males,1,,,,8915,,280260,3.2,3,3.3,,3.2,3,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,First Nations/Inuit/Métis,Females,2.383,2.183,2.583,,3680,,45420,8.1,7.5,8.7,,8.1,7.5,8.7,,4.711,4.099,5.322,,58.032,54.487,61.576,,9.704,8.475,10.933,,0.461,0.4,0.521,,2133,1853,2414,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Black ,Females,2.478,2.247,2.708,,2800,,32460,8.6,8,9.3,,8.4,7.8,9.1,,5.035,4.369,5.7,,59.643,55.872,63.414,,7.586,6.521,8.652,,0.36,0.312,0.408,,1668,1445,1890,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Females,1.771,1.541,2,,1225,,20445,6,5.3,6.7,,6,5.3,6.8,,2.625,1.884,3.367,,43.523,36.168,50.878,,2.429,1.738,3.12,,0.115,0.082,0.148,,534,382,686,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Southeast Asian (incl. Filipino) ,Females,0.716,0.613,0.819,,825,,33055,2.5,2.1,2.8,,2.4,2.1,2.8,,-0.968,-1.331,-0.605,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,South Asian ,Females,1.293,1.136,1.45,,1670,,37965,4.4,3.9,4.9,,4.4,3.9,4.9,,0.998,0.483,1.513,,22.66,13.134,32.187,,1.724,0.83,2.618,,0.082,0.039,0.124,,379,183,575,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Arab ,Females,3.954,3.464,4.443,,1600,,11780,13.6,12,15.2,,13.5,11.9,15.1,,10.062,8.478,11.647,,74.706,71.566,77.846,,5.444,4.585,6.303,,0.258,0.216,0.301,,1197,1001,1393,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,West Asian,Females,3.218,2.271,4.164,,325,,3025,10.8,7.6,14,,11,7.7,14.2,,7.556,4.346,10.765,,68.923,59.321,78.525,,1.022,0.581,1.462,,0.049,0.027,0.07,,225,127,322,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Latin American ,Females,2.246,1.801,2.69,,505,,6755,7.5,6.1,9,,7.7,6.2,9.1,,4.244,2.775,5.713,,55.47,46.479,64.461,,1.283,0.839,1.728,,0.061,0.04,0.082,,282,185,379,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Multiple origins,Females,1.264,0.917,1.612,,325,,7655,4.3,3.1,5.4,,4.3,3.1,5.5,,0.901,-0.28,2.082,,20.915,-1.429,43.259,,0.31,-0.094,0.715,,0.015,-0.005,0.034,,68,-21,157,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Origins responses not included elsewhere,Females,1.502,0.764,2.241,,70,E,1540,4.8,2.5,7.2,,5.1,2.7,7.6,,1.712,-0.782,4.205,,33.444,-2.506,69.394,,0.113,-0.052,0.278,E,0.005,-0.002,0.013,E,25,-11,61,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,Total - Not white,Females,1.907,1.794,2.02,,13035,,200095,6.5,6.3,6.8,,6.5,6.2,6.7,,3.09,2.806,3.375,,47.565,44.45,50.681,,28.196,25.637,30.755,,1.339,1.213,1.464,,6198,5619,6777,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Cultural/racial background,White [reference],Females,1,,,,8955,,262975,3.4,3.2,3.6,,3.4,3.2,3.6,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Recent immigrant (?10 years) ,Both sexes,2.766,2.544,2.989,,5850,,71120,8.2,7.7,8.8,,11.4,10.6,12.3,,7.31,6.459,8.161,,63.852,60.952,66.751,,8.402,7.522,9.282,,0.391,0.35,0.432,,3737,3345,4128,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Long-term immigrant (>10 years),Both sexes,0.56,0.467,0.653,,570,,11950,4.8,4.1,5.4,,2.3,1.9,2.7,,-1.821,-2.211,-1.431,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-permanent resident,Both sexes,6.639,5.918,7.36,,2280,,8140,28,25.1,31,,27.5,24.5,30.4,,23.337,20.408,26.266,,84.938,83.301,86.575,,4.355,3.838,4.873,,0.203,0.177,0.228,,1937,1693,2180,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-immigrant [reference],Both sexes,1,,,,35770,,863450,4.1,4,4.3,,4.1,4,4.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
