Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,First Nations/Inuit/Métis,Both sexes,2.595,2.52,2.669,,40220,,543540,7.4,7.2,7.6,,7.4,7.2,7.6,,4.553,4.372,4.733,,61.462,60.359,62.565,,7.433,7.139,7.727,,0.343,0.329,0.357,,24719,23724,25714,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Black ,Both sexes,2.842,2.756,2.928,,38800,,475490,8.2,8,8.4,,8.1,7.9,8.3,,5.257,5.047,5.467,,64.81,63.748,65.871,,7.562,7.254,7.87,,0.349,0.335,0.363,,25148,24144,26153,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Both sexes,3.61,3.519,3.702,,39390,,380060,10.4,10.2,10.6,,10.3,10.1,10.5,,7.451,7.248,7.654,,72.301,71.602,73,,8.563,8.324,8.803,,0.395,0.384,0.406,,28478,27685,29270,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Southeast Asian (incl. Filipino) ,Both sexes,1.232,1.171,1.292,,10615,,297795,3.6,3.4,3.7,,3.5,3.4,3.7,,0.661,0.492,0.831,,18.809,14.795,22.822,,0.6,0.446,0.754,,0.028,0.021,0.035,,1997,1484,2510,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,South Asian ,Both sexes,1.677,1.619,1.734,,27850,,579400,4.8,4.7,5,,4.8,4.6,4.9,,1.931,1.778,2.085,,40.356,38.307,42.406,,3.38,3.107,3.654,,0.156,0.144,0.169,,11241,10342,12141,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Arab ,Both sexes,3.866,3.723,4.008,,23785,,215180,11.1,10.7,11.4,,11,10.7,11.4,,8.18,7.801,8.559,,74.131,73.172,75.089,,5.301,5.065,5.538,,0.245,0.233,0.256,,17630,16812,18448,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,West Asian,Both sexes,3.459,3.232,3.685,,7280,,73730,9.9,9.3,10.5,,9.9,9.3,10.5,,7.019,6.402,7.636,,71.088,69.197,72.98,,1.556,1.409,1.702,,0.072,0.065,0.078,,5174,4696,5652,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Latin American ,Both sexes,3.711,3.524,3.898,,10980,,104385,10.5,10,11,,10.6,10.1,11.1,,7.739,7.232,8.247,,73.054,71.688,74.421,,2.412,2.246,2.578,,0.111,0.104,0.119,,8022,7473,8571,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Multiple origins,Both sexes,1.84,1.708,1.972,,6595,,127385,5.2,4.8,5.5,,5.3,4.9,5.6,,2.398,2.026,2.77,,45.653,41.718,49.588,,0.906,0.765,1.047,,0.042,0.035,0.048,,3013,2542,3483,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Cultural/racial background,Origins responses not included elsewhere,Both sexes,2.183,1.95,2.417,,2300,,36920,6.2,5.6,6.9,,6.2,5.6,6.9,,3.378,2.718,4.037,,54.196,49.245,59.146,,0.375,0.301,0.45,,0.017,0.014,0.021,,1248,1002,1494,,Census 2021
