model_no,k_name,l1,l2,b,meas_error,lppd_exact
272,ksqexp,1,250,0.5,0.1,1.57192254945288
273,ksqexp,1,250,0.5,0.05,5.484752637640983
274,ksqexp,1,250,0.5,0.01,7.15603826555567
275,ksqexp,1,250,0.5,0,7.233118528527969
276,ksqexp,1,250,1,0.5,-35.65143250128699
277,ksqexp,1,250,1,0.1,-10.514928689838456
278,ksqexp,1,250,1,0.05,-8.000026599991788
279,ksqexp,1,250,1,0.01,-7.04168809166765
280,ksqexp,1,250,1,0,-6.9995832772352236
281,ksqexp,1,250,1.5,0.5,-39.98706050873934
282,ksqexp,1,250,1.5,0.1,-18.470336363216372
283,ksqexp,1,250,1.5,0.05,-16.626999768860475
284,ksqexp,1,250,1.5,0.01,-15.958666243440081
285,ksqexp,1,250,1.5,0,-15.929802362590543
286,ksqexp,1,500,0.5,0.5,-30.228088041699017
287,ksqexp,1,500,0.5,0.1,-0.29782154722492254
288,ksqexp,1,500,0.5,0.05,2.9782898596879637
289,ksqexp,1,500,0.5,0.01,4.223044644271081
290,ksqexp,1,500,0.5,0,4.277568260690034
291,ksqexp,1,500,1,0.5,-36.81452261458897
292,ksqexp,1,500,1,0.1,-13.69077282730733
293,ksqexp,1,500,1,0.05,-11.809365418033382
294,ksqexp,1,500,1,0.01,-11.14683336271946
295,ksqexp,1,500,1,0,-11.118496602474867
296,ksqexp,1,500,1.5,0.5,-41.442477676388634
297,ksqexp,1,500,1.5,0.1,-22.22583576325007
298,ksqexp,1,500,1.5,0.05,-20.906716806121587
299,ksqexp,1,500,1.5,0.01,-20.455633955743078
300,ksqexp,1,500,1.5,0,-20.436503373641568
301,ksqexp,1.25,0.2,0.5,0.5,-24.3607821304446
302,ksqexp,1.25,0.2,0.5,0.1,-90.75122310105495
303,ksqexp,1.25,0.2,0.5,0.05,-467.6267470034669
304,ksqexp,1.25,0.2,0.5,0.01,-14944.801660583722
305,ksqexp,1.25,0.2,0.5,0,-8112493093.550132
306,ksqexp,1.25,0.2,1,0.5,-26.11474117231414
307,ksqexp,1.25,0.2,1,0.1,-89.91772110357277
308,ksqexp,1.25,0.2,1,0.05,-482.6134229143618
309,ksqexp,1.25,0.2,1,0.01,-15214.822453498095
310,ksqexp,1.25,0.2,1,0,-4076496021.86673
311,ksqexp,1.25,0.2,1.5,0.5,-27.182555165559236
312,ksqexp,1.25,0.2,1.5,0.1,-91.79105603161177
313,ksqexp,1.25,0.2,1.5,0.05,-493.2986135611183
314,ksqexp,1.25,0.2,1.5,0.01,-15347.725398878574
315,ksqexp,1.25,0.2,1.5,0,-2719345598.3219423
316,ksqexp,1.25,0.5,0.5,0.5,-25.782136732476054
317,ksqexp,1.25,0.5,0.5,0.1,-100.25850990039773
318,ksqexp,1.25,0.5,0.5,0.05,-535.0103178348209
319,ksqexp,1.25,0.5,0.5,0.01,-15651.815911626732
320,ksqexp,1.25,0.5,0.5,0,-32796679.943250183
321,ksqexp,1.25,0.5,1,0.5,-28.67599177985029
322,ksqexp,1.25,0.5,1,0.1,-110.09416561388922
323,ksqexp,1.25,0.5,1,0.05,-554.009984967688
324,ksqexp,1.25,0.5,1,0.01,-15632.49409292895
325,ksqexp,1.25,0.5,1,0,-16398490.382600006
326,ksqexp,1.25,0.5,1.5,0.5,-30.601907013470395
327,ksqexp,1.25,0.5,1.5,0.1,-115.71887234510187
328,ksqexp,1.25,0.5,1.5,0.05,-563.6552858035415
329,ksqexp,1.25,0.5,1.5,0.01,-15585.187727965797
330,ksqexp,1.25,0.5,1.5,0,-10932318.094033191
331,ksqexp,1.25,1,0.5,0.5,-27.002763693150488
332,ksqexp,1.25,1,0.5,0.1,-106.90637576162781
333,ksqexp,1.25,1,0.5,0.05,-550.3996317370481
334,ksqexp,1.25,1,0.5,0.01,-14538.692466692257
335,ksqexp,1.25,1,0.5,0,-1226624.492038003
336,ksqexp,1.25,1,1,0.5,-30.359967120559492
337,ksqexp,1.25,1,1,0.1,-116.82265410438244
338,ksqexp,1.25,1,1,0.05,-565.3053180232235
339,ksqexp,1.25,1,1,0.01,-13489.354949561557
340,ksqexp,1.25,1,1,0,-613235.3462461516
341,ksqexp,1.25,1,1.5,0.5,-32.49070695525703
342,ksqexp,1.25,1,1.5,0.1,-122.40380021165628
343,ksqexp,1.25,1,1.5,0.05,-571.5107647956867
344,ksqexp,1.25,1,1.5,0.01,-12559.196451901627
345,ksqexp,1.25,1,1.5,0,-408776.4968428637
346,ksqexp,1.25,1.5,0.5,0.5,-27.18322223226762
347,ksqexp,1.25,1.5,0.5,0.1,-107.41922721599208
348,ksqexp,1.25,1.5,0.5,0.05,-548.2832404709161
349,ksqexp,1.25,1.5,0.5,0.01,-12581.488576343065
350,ksqexp,1.25,1.5,0.5,0,-374692.7099366331
351,ksqexp,1.25,1.5,1,0.5,-30.56211625153439
352,ksqexp,1.25,1.5,1,0.1,-117.09341440328157
353,ksqexp,1.25,1.5,1,0.05,-558.9894175152283
354,ksqexp,1.25,1.5,1,0.01,-10398.585422648768
355,ksqexp,1.25,1.5,1,0,-187276.96891095
356,ksqexp,1.25,1.5,1.5,0.5,-32.70356151369165
357,ksqexp,1.25,1.5,1.5,0.1,-122.42891993699412
358,ksqexp,1.25,1.5,1.5,0.05,-561.172442836667
359,ksqexp,1.25,1.5,1.5,0.01,-8819.17211366485
360,ksqexp,1.25,1.5,1.5,0,-124809.28001736884
361,ksqexp,1.25,2,0.5,0.5,-27.199744601026545
362,ksqexp,1.25,2,0.5,0.1,-107.22520543002717
363,ksqexp,1.25,2,0.5,0.05,-543.7286165403106
364,ksqexp,1.25,2,0.5,0.01,-10709.732334364062
365,ksqexp,1.25,2,0.5,0,-202036.89648162926
366,ksqexp,1.25,2,1,0.5,-30.576813396649772
367,ksqexp,1.25,2,1,0.1,-116.59302660767666
368,ksqexp,1.25,2,1,0.05,-549.6472792266018
369,ksqexp,1.25,2,1,0.01,-7997.803531833346
370,ksqexp,1.25,2,1,0,-100952.84090331207
371,ksqexp,1.25,2,1.5,0.5,-32.71784467360225
372,ksqexp,1.25,2,1.5,0.1,-121.62421675848648
373,ksqexp,1.25,2,1.5,0.05,-547.2579296862183
374,ksqexp,1.25,2,1.5,0.01,-6352.550536352488
375,ksqexp,1.25,2,1.5,0,-67262.35506243541
376,ksqexp,1.25,2.5,0.5,0.5,-27.20101589773498
377,ksqexp,1.25,2.5,0.5,0.1,-106.88331604135634
378,ksqexp,1.25,2.5,0.5,0.05,-537.8399218602365
379,ksqexp,1.25,2.5,0.5,0.01,-8993.042809793114
380,ksqexp,1.25,2.5,0.5,0,-129083.713511022
381,ksqexp,1.25,2.5,1,0.5,-30.57733553667647
382,ksqexp,1.25,2.5,1,0.1,-115.87728723017028
383,ksqexp,1.25,2.5,1,0.05,-538.0865004084013
384,ksqexp,1.25,2.5,1,0.01,-6183.205853012532
385,ksqexp,1.25,2.5,1,0,-64478.95297889889
386,ksqexp,1.25,2.5,1.5,0.5,-32.71793715647997
387,ksqexp,1.25,2.5,1.5,0.1,-120.53750799239394
388,ksqexp,1.25,2.5,1.5,0.05,-530.447007644355
389,ksqexp,1.25,2.5,1.5,0.01,-4721.260116041398
390,ksqexp,1.25,2.5,1.5,0,-42948.2242791945
391,ksqexp,1.25,3,0.5,0.5,-27.200792574496063
392,ksqexp,1.25,3,0.5,0.1,-106.4499075452678
393,ksqexp,1.25,3,0.5,0.05,-530.7234049017202
394,ksqexp,1.25,3,0.5,0.01,-7493.63637523083
395,ksqexp,1.25,3,0.5,0,-89597.7944642764
396,ksqexp,1.25,3,1,0.5,-30.576698737925536
397,ksqexp,1.25,3,1,0.1,-114.99472137498296
398,ksqexp,1.25,3,1,0.05,-524.4395449248935
399,ksqexp,1.25,3,1,0.01,-4851.43374330094
400,ksqexp,1.25,3,1,0,-44738.187703906195
401,ksqexp,1.25,3,1.5,0.5,-32.71690224333655
402,ksqexp,1.25,3,1.5,0.1,-119.21321557570492
403,ksqexp,1.25,3,1.5,0.05,-510.98818331604747
404,ksqexp,1.25,3,1.5,0.01,-3644.1974990919707
405,ksqexp,1.25,3,1.5,0,-29789.174083392845
406,ksqexp,1.25,3.5,0.5,0.5,-27.200378456015027
407,ksqexp,1.25,3.5,0.5,0.1,-105.9385629462852
408,ksqexp,1.25,3.5,0.5,0.05,-522.4976785065514
409,ksqexp,1.25,3.5,0.5,0.01,-6249.088041500204
410,ksqexp,1.25,3.5,0.5,0,-65790.83760234798
411,ksqexp,1.25,3.5,1,0.5,-30.575835175231862
412,ksqexp,1.25,3.5,1,0.1,-113.96186344311421
413,ksqexp,1.25,3.5,1,0.05,-509.0156967570289
