model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
104,ksqexp,1,2.5,1.5,0.01,-48.637821658570914,-54.88544717399944
105,ksqexp,1,2.5,1.5,0,-48.63991404153503,-54.88333443083006
106,ksqexp,1,3,0.5,0.5,-43.33853966637811,-48.53119352894465
107,ksqexp,1,3,0.5,0.1,-46.50166485326013,-42.49423402414916
108,ksqexp,1,3,0.5,0.05,-51.73002435842427,-43.32249691013789
109,ksqexp,1,3,0.5,0.01,-53.996639676328854,-43.70381468877004
110,ksqexp,1,3,0.5,0,-54.099110718944786,-43.7212599696295
111,ksqexp,1,3,1,0.5,-49.893325780779456,-55.616728345614575
112,ksqexp,1,3,1,0.1,-45.70109668311991,-49.16563776427128
113,ksqexp,1,3,1,0.05,-46.5738250463126,-49.117278006657585
114,ksqexp,1,3,1,0.01,-46.92198470644571,-49.114135968020214
115,ksqexp,1,3,1,0,-46.937322524661454,-49.11415436414943
116,ksqexp,1,3,1.5,0.5,-55.02737392068775,-61.476370801479334
117,ksqexp,1,3,1.5,0.1,-49.017699697193514,-55.73698441142453
118,ksqexp,1,3,1.5,0.05,-49.12075536845436,-55.5826413370961
119,ksqexp,1,3,1.5,0.01,-49.16985236143594,-55.53573619796463
120,ksqexp,1,3,1.5,0,-49.1720850629937,-55.53381109887079
121,ksqexp,1,3.5,0.5,0.5,-43.45195959318923,-48.65587840409953
122,ksqexp,1,3.5,0.5,0.1,-46.81837635703739,-42.86471809642839
123,ksqexp,1,3.5,0.5,0.05,-52.059945857027245,-43.711998714215504
124,ksqexp,1,3.5,0.5,0.01,-54.330807226066455,-44.09970966873897
125,ksqexp,1,3.5,0.5,0,-54.43345463835837,-44.11742454190797
126,ksqexp,1,3.5,1,0.5,-50.07876330918738,-55.82870698504424
127,ksqexp,1,3.5,1,0.1,-46.03101512475206,-49.559480546579614
128,ksqexp,1,3.5,1,0.05,-46.91103564176647,-49.521025208224444
129,ksqexp,1,3.5,1,0.01,-47.26157699160277,-49.52114649863666
130,ksqexp,1,3.5,1,0,-47.27701453526636,-49.52130187999164
131,ksqexp,1,3.5,1.5,0.5,-55.25014934477312,-61.73552624288987
132,ksqexp,1,3.5,1.5,0.1,-49.35239243652151,-56.138799842515915
133,ksqexp,1,3.5,1.5,0.05,-49.46051123255106,-55.99116612098734
134,ksqexp,1,3.5,1.5,0.01,-49.51125801275848,-55.9464528824063
135,ksqexp,1,3.5,1.5,0,-49.51355977066243,-55.944619595900924
136,ksqexp,1,4,0.5,0.5,-43.54581429884158,-48.76159072211357
137,ksqexp,1,4,0.5,0.1,-47.03793943968406,-43.127920822950855
138,ksqexp,1,4,0.5,0.05,-52.28640732875133,-43.985545861768294
139,ksqexp,1,4,0.5,0.01,-54.55945816608168,-44.37667921980584
140,ksqexp,1,4,0.5,0,-54.66219632020473,-44.39453780806276
141,ksqexp,1,4,1,0.5,-50.216259593532754,-55.98761208886495
142,ksqexp,1,4,1,0.1,-46.25443041657572,-49.8284179748454
143,ksqexp,1,4,1,0.05,-47.138396975751064,-49.79540312515423
144,ksqexp,1,4,1,0.01,-47.490221063322814,-49.79730503949477
145,ksqexp,1,4,1,0,-47.505712260932704,-49.797535038006814
146,ksqexp,1,4,1.5,0.5,-55.409666399156436,-61.92214558700232
147,ksqexp,1,4,1.5,0.1,-49.57736972739212,-56.409786132301285
148,ksqexp,1,4,1.5,0.05,-49.68825737519215,-56.2658519833632
149,ksqexp,1,4,1.5,0.01,-49.739903472233564,-56.22234231120149
150,ksqexp,1,4,1.5,0,-49.74224284426881,-56.22055938453624
151,ksqexp,1,6,0.5,0.5,-43.74832869842021,-49.000693301954186
152,ksqexp,1,6,0.5,0.1,-47.41123479598469,-43.61243321668845
153,ksqexp,1,6,0.5,0.05,-52.66575108707311,-44.482464495626076
154,ksqexp,1,6,0.5,0.01,-54.9405542023792,-44.87757484401237
155,ksqexp,1,6,0.5,0,-55.04336287180656,-44.89559895055406
156,ksqexp,1,6,1,0.5,-50.47574755855238,-56.29806452223816
157,ksqexp,1,6,1,0.1,-46.629930471158666,-50.300755551632896
158,ksqexp,1,6,1,0.05,-47.51840613134779,-50.274788593451824
159,ksqexp,1,6,1,0.01,-47.87167507935915,-50.27897563153421
160,ksqexp,1,6,1,0,-47.88722648124525,-50.2793011521671
161,ksqexp,1,6,1.5,0.5,-55.69815871957955,-62.268988398513756
162,ksqexp,1,6,1.5,0.1,-49.95446924798513,-56.8785437431669
163,ksqexp,1,6,1.5,0.05,-50.06874761573021,-56.73952797004049
164,ksqexp,1,6,1.5,0.01,-50.12148789437143,-56.69761022717782
165,ksqexp,1,6,1.5,0,-50.1238729541517,-56.69589382258624
166,ksqexp,1,8,0.5,0.5,-43.80166380433384,-49.06733540886102
167,ksqexp,1,8,0.5,0.1,-47.4851199585395,-43.72788194490859
168,ksqexp,1,8,0.5,0.05,-52.73873743127011,-44.5992546100796
