model_no,k_name,l1,l2,b,meas_error,lppd_exact
407,kexp,3,3.5,1,NA,-728.7442974012058
408,kexp,3,3.5,1.5,NA,-499.33160543026577
409,kexp,3,4,0.5,NA,-1253.6175003906906
410,kexp,3,4,1,NA,-641.7617754618133
411,kexp,3,4,1.5,NA,-442.1702683257805
412,kexp,3,4.5,0.5,NA,-1116.6164854455044
413,kexp,3,4.5,1,NA,-574.3016316963144
414,kexp,3,4.5,1.5,NA,-397.89041495861693
415,kexp,3,5,0.5,NA,-1007.1890832087838
416,kexp,3,5,1,NA,-520.4738330701988
417,kexp,3,5,1.5,NA,-362.59581753969337
418,kexp,3,6,0.5,NA,-843.3897921738234
419,kexp,3,6,1,NA,-440.0043896565617
420,kexp,3,6,1.5,NA,-309.90299000457986
421,kexp,3,10,0.5,NA,-517.4636284298961
422,kexp,3,10,1,NA,-280.35942945977996
423,kexp,3,10,1.5,NA,-205.68509766380714
424,kexp,3,50,0.5,NA,-132.42346090636067
425,kexp,3,50,1,NA,-93.59079072299686
426,kexp,3,50,1.5,NA,-85.00696852640347
427,kexp,3,100,0.5,NA,-86.50942298406098
428,kexp,3,100,1,NA,-72.05617473134022
429,kexp,3,100,1.5,NA,-71.59882651175407
430,kexp,3.25,1.5,0.5,NA,-3599.892273269037
431,kexp,3.25,1.5,1,NA,-1803.6709029290655
432,kexp,3.25,1.5,1.5,NA,-1209.2908471439785
433,kexp,3.25,2,0.5,NA,-2700.153037387574
434,kexp,3.25,2,1,NA,-1357.0861753432052
435,kexp,3.25,2,1.5,NA,-913.7576224123048
436,kexp,3.25,3,0.5,NA,-1802.8661758380345
437,kexp,3.25,3,1,NA,-912.7927313003071
438,kexp,3.25,3,1.5,NA,-620.4619842682685
439,kexp,3.25,3.5,0.5,NA,-1547.2743633050818
440,kexp,3.25,3.5,1,NA,-786.5343127509403
441,kexp,3.25,3.5,1.5,NA,-537.3146970601628
442,kexp,3.25,4,0.5,NA,-1355.9141884219703
443,kexp,3.25,4,1,NA,-692.1234334905196
444,kexp,3.25,4,1.5,NA,-475.2202496827263
445,kexp,3.25,4.5,0.5,NA,-1207.3192920903896
446,kexp,3.25,4.5,1,NA,-618.8931362299702
447,kexp,3.25,4.5,1.5,NA,-427.1114854518457
448,kexp,3.25,5,0.5,NA,-1088.621991565778
449,kexp,3.25,5,1,NA,-560.455199346377
450,kexp,3.25,5,1.5,NA,-388.7600031195519
451,kexp,3.25,6,0.5,NA,-910.9305324742318
452,kexp,3.25,6,1,NA,-473.0836155496714
453,kexp,3.25,6,1.5,NA,-331.49504442671844
454,kexp,3.25,10,0.5,NA,-557.2999737762561
455,kexp,3.25,10,1,NA,-299.70562817608845
456,kexp,3.25,10,1.5,NA,-218.20124750275178
457,kexp,3.25,50,0.5,NA,-139.37830644761195
458,kexp,3.25,50,1,NA,-96.70410365449018
459,kexp,3.25,50,1.5,NA,-86.83977058794947
460,kexp,3.25,100,0.5,NA,-89.39743319345267
461,kexp,3.25,100,1,NA,-73.16782062147685
462,kexp,3.25,100,1.5,NA,-72.11835096213183
463,kexp,3.5,1.5,0.5,NA,-3876.535576405833
464,kexp,3.5,1.5,1,NA,-1941.1170735319606
465,kexp,3.5,1.5,1.5,NA,-1300.3379735371752
466,kexp,3.5,2,0.5,NA,-2907.0723724560717
467,kexp,3.5,2,1,NA,-1459.695084486093
468,kexp,3.5,2,1.5,NA,-981.5963895616457
469,kexp,3.5,3,0.5,NA,-1940.096732419034
470,kexp,3.5,3,1,NA,-980.6097241944904
471,kexp,3.5,3,1.5,NA,-665.1411225920531
472,kexp,3.5,3.5,0.5,NA,-1664.6090836881526
473,kexp,3.5,3.5,1,NA,-844.4291061507869
474,kexp,3.5,3.5,1.5,NA,-575.3961814596362
475,kexp,3.5,4,0.5,NA,-1458.333646768566
476,kexp,3.5,4,1,NA,-742.5851689204545
477,kexp,3.5,4,1.5,NA,-508.3627441358686
478,kexp,3.5,4.5,0.5,NA,-1298.142916555867
479,kexp,3.5,4.5,1,NA,-663.5801006603313
480,kexp,3.5,4.5,1.5,NA,-456.4195632002401
481,kexp,3.5,5,0.5,NA,-1170.1729975150206
482,kexp,3.5,5,1,NA,-600.5274584895395
483,kexp,3.5,5,1.5,NA,-415.00601332444984
484,kexp,3.5,6,0.5,NA,-978.5823392538468
485,kexp,3.5,6,1,NA,-506.2448927203006
486,kexp,3.5,6,1.5,NA,-353.1594783923263
487,kexp,3.5,10,0.5,NA,-597.2196624594018
488,kexp,3.5,10,1,NA,-319.1075355284081
489,kexp,3.5,10,1.5,NA,-230.76389441073124
490,kexp,3.5,50,0.5,NA,-146.37264223297254
491,kexp,3.5,50,1,NA,-99.83651254404734
492,kexp,3.5,50,1.5,NA,-88.68487051220887
493,kexp,3.5,100,0.5,NA,-92.32147171357434
