pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional,numtotal_2nd_additional,numtotal_recommended_vax,numtotal_vax_interest,proptotal_atleast1dose,proptotal_partially,proptotal_fully,proptotal_additional,proptotal_2nd_additional,proptotal_recommended_vax,proptotal_vax_interest
46,Manitoba,Manitoba,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,0–15,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,16–69,1042,1042,0,,,,,0.1,0.1,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,70–79,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,80+,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,All ages,1048,1048,0,,,,,0.1,0.1,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,All sexes,Unknown,6,6,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,0–15,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,16–69,833,833,0,,,,,0.2,0.2,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,70–79,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,80+,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,All ages,833,833,0,,,,,0.1,0.1,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,16–69,209,209,0,,,,,0.1,0.1,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,70–79,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,80+,0,0,0,,,,,0,0,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,All ages,209,209,0,,,,,<0.1,<0.1,0,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,16–69,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,All ages,6,6,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Unknown,6,6,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,0–15,2,2,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,16–69,3575,3575,0,,,,,0.1,0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,70–79,56,56,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,80+,1,1,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,All ages,3634,3634,0,,,,,0.1,0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,All sexes,Unknown,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,0–15,1,1,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,16–69,2726,2726,0,,,,,0.1,0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,70–79,37,37,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,80+,0,0,0,,,,,0,0,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,All ages,2764,2764,0,,,,,0.1,0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,0–15,1,1,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,16–69,849,849,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,70–79,19,19,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,80+,1,1,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,All ages,870,870,0,,,,,<0.1,<0.1,0,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,16–69,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,All ages,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
